dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.050050,6.681664,12.277591,2.243055,-1.779575,-0.208096,6.154414
0.020000,8.093801,6.675751,12.321739,2.207411,-1.782196,-0.131041,6.143303
0.020000,8.136777,6.669463,12.365173,2.171696,-1.785771,-0.178768,6.132517
0.020000,8.178977,6.662829,12.407890,2.135883,-1.790625,-0.242658,6.122048
0.020000,8.220398,6.655880,12.449891,2.100022,-1.793089,-0.123235,6.111891
0.020000,8.261040,6.648643,12.491172,2.064055,-1.798360,-0.263517,6.102040
0.020000,8.300901,6.641144,12.531732,2.028027,-1.801387,-0.151357,6.092487
0.020000,8.339982,6.633412,12.571571,1.991914,-1.805632,-0.212278,6.083228
0.020000,8.378282,6.625470,12.610685,1.955729,-1.809267,-0.181721,6.074254
0.020000,8.415800,6.617345,12.649074,1.919427,-1.815093,-0.291335,6.065560
0.020000,8.452539,6.609058,12.686736,1.883096,-1.816564,-0.073510,6.057139
0.020000,8.488499,6.600633,12.723669,1.846647,-1.822446,-0.294144,6.048985
0.020000,8.523680,6.592093,12.759871,1.810134,-1.825659,-0.160643,6.041092
0.020000,8.558083,6.583457,12.795342,1.773545,-1.829423,-0.188175,6.033453
0.020000,8.591711,6.574748,12.830080,1.736862,-1.834151,-0.236390,6.026063
0.020000,8.624565,6.565983,12.864082,1.700145,-1.835853,-0.085125,6.018915
0.020000,8.656646,6.557183,12.897349,1.663308,-1.841832,-0.298953,6.012004
0.020000,8.687956,6.548364,12.929877,1.626435,-1.843648,-0.090772,6.005324
0.020000,8.718498,6.539546,12.961667,1.589482,-1.847684,-0.201842,5.998869
0.020000,8.748274,6.530743,12.992716,1.552461,-1.851027,-0.167118,5.992635
0.020000,8.777285,6.521973,13.023024,1.515388,-1.853653,-0.131305,5.986615
0.020000,8.805533,6.513251,13.052588,1.478214,-1.858683,-0.251487,5.980806
0.020000,8.833022,6.504591,13.081409,1.441033,-1.859081,-0.019900,5.975201
0.020000,8.859753,6.496008,13.109484,1.403741,-1.864605,-0.276227,5.969797
0.020000,8.885728,6.487516,13.136812,1.366420,-1.866043,-0.071867,5.964588
0.020000,8.910950,6.479126,13.163393,1.329048,-1.868610,-0.128385,5.959571
0.020000,8.935422,6.470852,13.189225,1.291601,-1.872330,-0.185989,5.954741
0.020000,8.959144,6.462706,13.214307,1.254114,-1.874346,-0.100776,5.950093
0.020000,8.982121,6.454699,13.238639,1.216596,-1.875920,-0.078711,5.945625
0.020000,9.004353,6.446842,13.262219,1.179010,-1.879302,-0.169106,5.941332
0.020000,9.025844,6.439145,13.285047,1.141372,-1.881878,-0.128787,5.937211
0.020000,9.046596,6.431618,13.307121,1.103710,-1.883105,-0.061351,5.933258
0.020000,9.066610,6.424271,13.328441,1.066008,-1.885115,-0.100542,5.929470
0.020000,9.085888,6.417113,13.349006,1.028236,-1.888607,-0.174558,5.925844
0.020000,9.104434,6.410152,13.368815,0.990455,-1.889029,-0.021099,5.922376
0.020000,9.122249,6.403396,13.387868,0.952632,-1.891147,-0.105922,5.919064
0.020000,9.139335,6.396853,13.406163,0.914787,-1.892236,-0.054432,5.915905
0.020000,9.155693,6.390531,13.423701,0.876876,-1.895577,-0.167053,5.912897
0.020000,9.171326,6.384437,13.440480,0.838958,-1.895917,-0.016992,5.910036
0.020000,9.186236,6.378577,13.456500,0.800999,-1.897927,-0.100546,5.907321
0.020000,9.200424,6.372957,13.471760,0.763008,-1.899550,-0.081139,5.904750
0.020000,9.213891,6.367583,13.486261,0.725024,-1.899200,0.017500,5.902319
0.020000,9.226640,6.362461,13.500000,0.686970,-1.902685,-0.174213,5.900028
0.020000,9.238673,6.357596,13.512979,0.648936,-1.901729,0.047767,5.897874
0.020000,9.249990,6.352993,13.525196,0.610858,-1.903869,-0.106992,5.895856
0.020000,9.260592,6.348656,13.536651,0.572750,-1.905430,-0.078067,5.893971
0.020000,9.270481,6.344590,13.547343,0.534622,-1.906413,-0.049133,5.892219
0.020000,9.279658,6.340798,13.557273,0.496485,-1.906817,-0.020222,5.890598
0.020000,9.288126,6.337285,13.566440,0.458352,-1.906645,0.008635,5.889107
0.020000,9.295883,6.334053,13.574844,0.420173,-1.908955,-0.115530,5.887744
0.020000,9.302932,6.331106,13.582484,0.382019,-1.907716,0.061958,5.886509
0.020000,9.309272,6.328445,13.589360,0.343792,-1.911355,-0.181943,5.885400
0.020000,9.314906,6.326075,13.595472,0.305599,-1.909625,0.086490,5.884417
0.020000,9.319833,6.323996,13.600820,0.267393,-1.910331,-0.035282,5.883558
0.020000,9.324055,6.322212,13.605403,0.229179,-1.910664,-0.016677,5.882823
0.020000,9.327571,6.320722,13.609222,0.190918,-1.913066,-0.120068,5.882212
0.020000,9.330382,6.319529,13.612276,0.152710,-1.910395,0.133530,5.881724
0.020000,9.332489,6.318635,13.614565,0.114453,-1.912880,-0.124238,5.881359
0.020000,9.333892,6.318038,13.616090,0.076228,-1.911227,0.082660,5.881115
0.020000,9.334593,6.317740,13.616851,0.038050,-1.908875,0.117576,5.880994
0.020000,9.334767,6.317666,13.617040,0.009496,-1.427727,24.057418,5.880964
0.020000,9.334767,6.317666,13.617040,0.000000,-0.474797,47.646491,5.880964
