dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.174614,4.660801,7.349706,3.882824,2.672823,14.206346,1.702107
0.020000,4.165646,4.739144,7.428561,3.942729,2.995237,16.120700,1.666673
0.020000,4.159566,4.819109,7.508756,4.009767,3.351913,17.833794,1.625869
0.020000,4.156942,4.900753,7.590443,4.084325,3.727907,18.799685,1.579092
0.020000,4.158433,4.984063,7.673766,4.166143,4.090886,18.148941,1.525762
0.020000,4.164784,5.068902,7.758842,4.253831,4.384398,14.675635,1.465402
0.020000,4.176799,5.154959,7.845734,4.344586,4.537735,7.666821,1.397769
0.020000,4.195278,5.241678,7.934400,4.433303,4.435881,-5.092707,1.323021
0.020000,4.220912,5.328221,8.024659,4.512964,3.983018,-22.643118,1.241884
0.020000,4.254147,5.413474,8.116162,4.575138,3.108729,-43.714467,1.155759
0.020000,4.295051,5.496146,8.208399,4.611865,1.836348,-63.619056,1.066687
0.020000,4.343244,5.574937,8.300761,4.618053,0.309369,-76.348925,0.977117
0.020000,4.397936,5.648752,8.392630,4.593465,-1.229383,-76.937607,0.889523
0.020000,4.450194,5.708680,8.472142,3.975629,-30.891799,-1483.120811,0.827246
0.020000,4.499804,5.762016,8.544984,3.642104,-16.676257,710.777097,0.815874
0.020000,4.550072,5.814828,8.617894,3.645490,0.169323,842.278990,0.804235
0.020000,4.601005,5.867092,8.690872,3.648893,0.170137,0.040696,0.792322
0.020000,4.652613,5.918789,8.763920,3.652376,0.174125,0.199419,0.780130
0.020000,4.704906,5.969894,8.837038,3.655930,0.177698,0.178662,0.767654
0.020000,4.757892,6.020386,8.910229,3.659546,0.180848,0.157479,0.754888
0.020000,4.811580,6.070239,8.983494,3.663218,0.183567,0.135944,0.741827
0.020000,4.865977,6.119429,9.056833,3.666969,0.187574,0.200343,0.728468
0.020000,4.921090,6.167929,9.130248,3.670762,0.189647,0.103680,0.714805
0.020000,4.976926,6.215713,9.203740,3.674575,0.190653,0.050279,0.700836
0.020000,5.033492,6.262754,9.277309,3.678473,0.194881,0.211396,0.686556
0.020000,5.090791,6.309022,9.350957,3.682371,0.194909,0.001420,0.671964
0.020000,5.148829,6.354488,9.424682,3.686291,0.195995,0.054276,0.657057
0.020000,5.207607,6.399122,9.498487,3.690235,0.197218,0.061197,0.641835
0.020000,5.267128,6.442894,9.572371,3.694189,0.197666,0.022384,0.626297
0.020000,5.327394,6.485773,9.646334,3.698135,0.197326,-0.016992,0.610443
0.020000,5.388403,6.527725,9.720375,3.702059,0.196191,-0.056777,0.594276
0.020000,5.450153,6.568719,9.794494,3.705944,0.194255,-0.096810,0.577797
0.020000,5.512641,6.608721,9.868689,3.709774,0.191516,-0.136925,0.561011
0.020000,5.575863,6.647700,9.942960,3.713564,0.189455,-0.103059,0.543922
